EntranceNumber;ApartmentNumber;TotalArea;LivingArea;RoomsCount;TenantLastName;RegistrationDate;FamilyMembers;ChildrenCount;HasDebt;Notes
1;9;88,9;65,4;4;Титов;14.12.2018;4;3;False;Без задолженности
1;116;29,0;23,6;1;Савельев;12.10.2018;6;3;True;Есть задолженность
4;147;62,9;51,0;3;Макаров;07.05.2020;3;2;True;Есть задолженность
3;155;82,2;67,9;1;Сидоров;07.03.2019;2;0;False;Без задолженности
4;25;87,3;68,3;1;Назаров;12.06.2021;3;2;False;Без задолженности
1;9;88,9;65,4;4;Титов;14.12.2018;4;3;False;Без задолженности
4;83;56,1;37,7;1;Андреев;09.02.2019;3;0;True;Есть задолженность
5;113;48,2;35,8;1;Кузнецов;15.06.2016;6;4;False;Без задолженности
5;60;75,4;63,9;4;Иванов;26.08.2016;2;0;False;Без задолженности
1;129;64,1;51,5;3;Орлов;10.05.2022;2;1;False;Без задолженности
5;159;37,8;23,1;2;Макаров;26.10.2016;6;1;False;Без задолженности
3;152;63,1;45,3;2;Федоров;28.11.2015;6;0;False;Без задолженности
3;100;28,6;25,6;1;Назаров;22.03.2017;5;0;True;Есть задолженность
2;70;32,6;22,3;2;Карпов;11.08.2020;6;0;True;Есть задолженность
4;108;104,2;77,6;4;Васильев;03.09.2016;4;1;False;Без задолженности
5;90;49,0;42,8;3;Белов;09.02.2015;4;2;True;Есть задолженность
1;183;17,8;13,2;4;Иванов;04.03.2019;2;1;False;Без задолженности
2;152;68,7;52,7;1;Глебов;01.03.2021;2;1;True;Есть задолженность
3;151;26,6;17,4;3;Петров;01.03.2017;3;1;True;Есть задолженность
4;118;62,7;43,0;3;Сидоров;04.01.2016;5;0;False;Без задолженности
1;15;82,3;70,5;4;Федоров;13.03.2020;5;2;True;Есть задолженность
3;150;64,5;46,0;2;Сергеев;14.08.2022;3;0;False;Без задолженности
3;68;50,7;36,1;3;Комаров;08.08.2021;1;0;False;Без задолженности
4;94;106,6;64,1;2;Савельев;10.07.2022;1;0;False;Без задолженности
1;159;43,6;35,0;3;Назаров;07.08.2017;5;4;False;Без задолженности
1;157;18,0;13,7;4;Смирнов;23.07.2015;1;0;False;Без задолженности
4;40;26,1;18,5;4;Андреев;24.08.2016;1;0;False;Без задолженности
4;115;94,3;60,5;1;Константинов;16.04.2022;6;0;False;Без задолженности
5;114;104,8;79,8;3;Иванов;25.09.2018;2;1;False;Без задолженности
1;104;103,8;77,7;1;Федоров;18.11.2019;5;1;False;Без задолженности
